id,type,url,description,name,permalink,state,banner-url,restrict-forum-creation,description-display-mode,visibility-mode,platform-analytics-tag-list,project-tag-list,image-url,image-caption,image-description,text-wrap-mode,subscribers-count,view-count,home-project,published-at,forum-topics,survey-tools,banner-caption,quick-poll-layout,created-at,updated-at,archival-reason-message,access,contribution-count,is-social-sharing-modal-enabled,role-in-current-context,can-contribute,scheduled-at,parent-id,meta-description,meta-keywords,redirect-url
22416,projects,https://engagevancouver.ca.engagementhq.com/7969-7989-cambie-st,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/e28d79c09d66b42ebd5c2c85d19ed969f9d3e675/original/1627504832/75f51e4955b8b71b584b7560cc1271b0_7969-7989_Cambie_St_-_Rendering.png?1627504832"" style=""width: 663px;"" class=""fr-fic fr-dib""></p><p>We would like your feedback on a rezoning application at 7969-7989 Cambie St. The proposal is to allow for the development of a 6-storey residential building. The zoning would change from RS-1 (Residential) District to CD-1 (Comprehensive Development) District. This proposal includes:</p><ul><li>27 strata-titled units</li><li>A floor space ratio (FSR) of 2.46</li><li>A total floor area of 2,373 sq. m (25,548 sq. ft.)</li><li>A building height of 21 m (69 ft.)</li><li>34 vehicle parking spaces and 69 bicycle parking spaces<a href=""https://rezoning.vancouver.ca/applications/7280fraserst/index.htm"" rel=""noopener noreferrer"" target=""_blank""></a></li></ul><p>The application is being considered under the <a href=""https://vancouver.ca/images/web/cambie-corridor/cambie-corridor-plan.pdf"" rel=""noopener noreferrer"" target=""_blank""><em>Cambie Corridor Plan.</em></a></p><p><strong>In response to COVID-19 (Coronavirus), we held an extended online question and answer (Q&amp;A) period in place of an in-person open house for this project.</strong></p>",7969-7989 Cambie St rezoning application,7969-7989-cambie-st,archived,NA,TRUE,detailed,Public,"Rezoning, Marpole, Approved","Rezoning, Marpole, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/e28d79c09d66b42ebd5c2c85d19ed969f9d3e675/original/1627504907/682f0a738ba9a20aac129803bf433ee2_7969-7989_Cambie_St_-_Rendering.png?1627504907,724 E 56th Ave - Looking southwest from the street,7969-7989 Cambie St - Facing Cambie St ,textwrap_default,0,1652,FALSE,2021-08-03T19:54:32-04:00,0,1,,tool,2021-05-06T18:15:29-04:00,2022-08-11T13:50:43-04:00,"<p><strong>This application was approved by Council at Public Hearing on May 17, 2022</strong><br><br></p>",FALSE,14,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22417,projects,https://engagevancouver.ca.engagementhq.com/323-alexander-st,"<p><span style=""font-size: 20px; color: red;"">This application is currently on hold.</span> </p><p>Vancouver is in a housing crisis &ndash; more than 2,000 people across the city are experiencing homelessness. People are suffering both physically and mentally. Creating safe, warm housing for people experiencing homelessness in our community continues to be a top priority for the City of Vancouver.</p><p>Temporary modular homes are located on vacant and underused sites across the city and are typically on site for a period up to 10 years.</p><p>All of the <a href=""http://vancouver.ca/TMH"" rel=""noopener noreferrer"" target=""_blank"">temporary modular buildings</a> are operating well in neighbourhoods across the city. Residents have a safe place to live and are being connected with the services they need.</p><p><strong>The site at 323 Alexander St, with an area of 2,397 sq. m, is being considered as a site for temporary modular supportive housing.</strong></p><p>This site is currently designated for <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-i-2.pdf"" rel=""noopener noreferrer"" target=""_blank"">Industrial </a>use under the City&rsquo;s <a href=""https://bylaws.vancouver.ca/odp/odp-regional-context-statement.pdf"" rel=""noopener noreferrer"" target=""_blank"">Regional Context Statement Official Development Plan (RCS ODP) By-law</a>. To allow residential use, an amendment to the by-law is required. The amendment would temporarily change the designation of this site from Industrial to General Urban, while the property is occupied with Temporary Modular Housing. This proposed amendment will be presented for Council&rsquo;s consideration later this year.</p><p><strong>Application drawings and statistics on this webpage are posted as-submitted to the City. Following staff review, the final project statistics are documented within the referral report.</strong></p>",323 Alexander St: Amendments to the regional context statement official development plan,323-alexander-st,published,NA,TRUE,detailed,Public,"Rezoning, Downtown Eastside","Rezoning, Downtown Eastside",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1627596683/146018532c085447ad3d4e03d0a3bf95_blob?1627596683-unsplash--undefined,724 E 56th Ave - Looking southwest from the street,NA,textwrap_default,0,1064,FALSE,2021-08-05T16:43:49-04:00,0,1,,tool,2021-05-06T18:16:05-04:00,2023-02-21T14:34:43-05:00,NA,FALSE,5,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22418,projects,https://engagevancouver.ca.engagementhq.com/855-865-w-10-ave,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/59cc1b1e6b66c4ce2f194ce782b25753ceadb36f/original/1627577637/06a9f296825d2f5c73774cd54408cb30_Rendering_-_closer.PNG?1627577637"" style=""width: 978px;"" class=""fr-fic fr-dib""></p><p>We would like your feedback on a rezoning application at 855-865 W 10th Ave. The proposal is to allow for the development of a 12-storey office building. The zoning would change from CD-1 (137) District to a new CD-1 (Comprehensive Development) District. This proposal includes:</p><ul><li>A floor area of 7,114.3 sq. m (76,580 sq. ft.)</li><li>A floor space ratio (FSR) of 6.12</li><li>A building height of 47.6 m (156.3 ft.)</li><li>Commercial retail space at grade</li><li>82 underground vehicle parking spaces and 60 bicycle spaces<p><a href=""https://rezoning.vancouver.ca/applications/7280fraserst/index.htm"" rel=""noopener noreferrer"" target=""_blank""></a></p></li></ul><p>The application is being considered under the <a href=""https://vancouver.ca/docs/planning/metro-core-jobs-and-economy-study.pdf"" rel=""noopener noreferrer"" target=""_blank""><em>Metro Core Jobs and Economy Land Use Plan</em></a>.</p><p>In June of 2018, Council adopted the Terms of Reference for the Broadway Planning Program with a set of <a href=""https://council.vancouver.ca/20180620/documents/pspc3.pdf#page=44"" rel=""noopener noreferrer"" target=""_blank"">interim rezoning policies</a>. A moratorium was implemented on rezoning applications in the Broadway Plan area during plan development. However, Appendix B provides several exemptions for instream proposals. The application at 855-865 W 10th Ave had received a response from staff supporting consideration of the proposal within three years of the adoption of the interim policies and, as such, the application satisfied interim policy and can be considered in advance of the adoption of the Broadway Plan.</p><p><strong>Application drawings and statistics on this webpage are posted as-submitted to the City. Following staff review, the final project statistics are documented within the referral report.</strong></p>",855-865 W 10th Ave rezoning application,855-865-w-10-ave,archived,NA,TRUE,detailed,Public,"Rezoning, Fairview, Approved","Rezoning, Fairview, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1627577739/57951052289a9ac9eea77020d9b141a5_blob?1627577739-unsplash--undefined,724 E 56th Ave - Looking southwest from the street,Aerial render looking northeast,textwrap_default,0,2039,FALSE,2021-09-09T13:55:34-04:00,0,1,,tool,2021-05-06T18:16:43-04:00,2023-05-10T20:09:30-04:00,"<p><strong>This application was approved by Council at Public Hearing on May 9, 2023.</strong></p>",FALSE,14,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22419,projects,https://engagevancouver.ca.engagementhq.com/1002-station-st-3,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/6448e9aa054727d1b3708b4ccaf8888e8ec8bac9/original/1628203827/abaf4598b9f95a209e1989f225cc023f_c18879f5355cade1ebce7468dd41b746_Front_Entrance_of_St_Pauls.jpg?1628203827"" style=""width: 783px;"" class=""fr-fic fr-dib""></p><p>The City of Vancouver has received an application to amend the CD-1 (761) (Comprehensive Development) District By-law for this site to:</p><ul><li>Permit elevator overruns and stair enclosures extending approximately 9.45 m (31.0 ft.) into Council-approved protected public view 22 (Main Street). These proposed minor incursions into the protected view are intended to facilitate rooftop helipad access necessary for critical regional air ambulance services.<br><br></li><li>Permit floor area exclusions for mechanical uses directly associated with the energy centre to a maximum of approximately 21,900 sq. m (235,729.6 sq. ft.). This would facilitate a relocation of mechanical floor area from the rooftop to level four. The amendment would not affect the proposed building footprint.</li></ul><p>The application is being considered under the <a href=""https://vancouver.ca/files/cov/new-st-pauls-hospital-health-campus-final-policy-statement-june-2017.pdf"" rel=""noopener noreferrer"" target=""_blank""><em>St. Paul&rsquo;s Hospital and Health Campus Policy Statement</em></a> as well as the <a href=""https://bylaws.vancouver.ca/bulletin/bulletin-sustainable-large-developments.pdf"" rel=""noopener noreferrer"" target=""_blank""><em>Rezoning Policy for Sustainable Large Developments</em></a><em>.</em></p><p><strong><strong>In response to COVID-19 (Coronavirus), an extended online question and answer (Q&amp;A) period was held in place of an in-person open house for this project.</strong>&nbsp;</strong><br>app</p>",1002 Station St and 250-310 Prior St - New St. Paul's Hospital (text amendment),1002-station-st-3,archived,NA,TRUE,detailed,Public,"Rezoning, Strathcona, Approved","Rezoning, Strathcona, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/6448e9aa054727d1b3708b4ccaf8888e8ec8bac9/original/1628203988/1f0880f2d09cdd1465d831cbb354ab01_c18879f5355cade1ebce7468dd41b746_Front_Entrance_of_St_Pauls.jpg?1628203988,724 E 56th Ave - Looking southwest from the street,St Paul's Hospital facade,textwrap_default,0,1489,FALSE,2021-10-29T17:23:04-04:00,0,1,,tool,2021-05-06T18:17:14-04:00,2022-10-18T16:20:56-04:00,"<p><strong>This application was approved by Council at Public Hearing on March 3, 2022.</strong></p>",FALSE,9,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22420,projects,https://engagevancouver.ca.engagementhq.com/3380-maquinna-dr,<p>The City of Vancouver has received an application to amend the CD-1 (136) (Comprehensive Development) District By-law to alter the land use provisions to allow for Child Day Care Use.</p><p>This proposal contains no changes to the form of development. The application is being considered under the existing CD-1 (136) District for 7725-7835 Champlain Cr. (Champlain Heights Community Centre) and the uses will be limited to the parcel located at 3380 Maquinna Dr.</p><p><br></p>,3380 Maquinna Dr text amendment,3380-maquinna-dr,archived,NA,TRUE,detailed,Public,"Rezoning, Killarney, Approved","Rezoning, Killarney, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1620403859/4d74a7ed9340f83a0c7d3ff68d18b661_blob?1620403859-unsplash--undefined,724 E 56th Ave - Looking southwest from the street,NA,textwrap_default,0,1197,FALSE,2021-05-07T12:15:04-04:00,0,1,,tool,2021-05-06T18:17:52-04:00,2021-10-15T14:38:40-04:00,"<p><span class=""ms-rteThemeForeColor-5-0""><strong>This application was approved by Council at Public Hearing on October 12, 2021</strong></span></p>",FALSE,40,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22439,projects,https://engagevancouver.ca.engagementhq.com/dtes-policy-review,"<p><a href=""/dtes-policy-review-chn"" target=""_blank""><button style=""margin: 4px 4px; font-size: 25px; background-color: #0086b3; border-color: #0086b3; color:white;"">中文翻譯</button></a></p><p>The <a href=""https://vancouver.ca/files/cov/downtown-eastside-plan.pdf"">Downtown Eastside Plan</a> identified the urgent need for self-contained social housing at affordable rents. This was supported by feedback from recent engagement at the <a href=""https://vancouver.ca/files/cov/dtes-plan-community-fair-consultation-summary-june-2019.pdf"">DTES Plan Community Fair.</a></p><p>Under the<a href=""https://council.vancouver.ca/20171128/documents/rr1appendixb.pdf""> Housing Vancouver Strategy: Three-year Action Plan</a>, modest increases in density and height to facilitate the delivery of more social housing were allowed in recently approved community plans.</p><p>This policy review was identified as a priority action in order to:</p><ul style=""list-style-type: disc;margin-left:undefined;""><li>Enable a modest increase in density and height for 100% social housing through changes to existing zoning</li><li>Create greater flexibility for projects that deliver 100% social housing through the rezoning process</li><li>Clarify policies to improve development processes and reduce application times</li></ul><div class=""fr-img-space-wrap""><span style=""font-size: 14px;""><span style=""font-family: Arial,Helvetica,sans-serif;""><span class=""fr-img-caption fr-fic fr-draggable fr-dib"" contenteditable=""false"" draggable=""false"" style=""width: 621px;""><span class=""fr-img-wrap""><a href=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/11ae5542deb6cdb3178642ff8cff1d53cc32042c/original/1624060303/821a847cde3d65576c8b14e96d317597_DEOD_SA-2__3__4__M-1__FC-1_map.png?1624060303"" target='blank""'><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/11ae5542deb6cdb3178642ff8cff1d53cc32042c/original/1624060303/821a847cde3d65576c8b14e96d317597_DEOD_SA-2__3__4__M-1__FC-1_map.png?1624060303""></a></span></span></span></span><p class=""fr-img-space-wrap2""><br></p><h3 class=""fr-img-space-wrap2""><strong>What are the proposed changes?</strong></h3></div><h4>1. Downtown Eastside Oppenheimer District</h4><p>a) Under zoning - DTES Oppenheimer District Official Development Plan (sub areas 2, 3, 4)</p><ul><li>Density: increase of 1.0 FSR (floor space ratio) from 4.5 FSR for a maximum of 5.5 FSR</li><li>Height: increase of 7.6 metres from 22.9 metres for a maximum of 30.5 metres</li></ul><p>b) Through rezoning policy</p><ul><li>Through the existing rezoning process, a density of approximately 5 FSR and height of approximately 30.5 metres may be considered.</li><li>The proposed rezoning policy allows additional density and height to be considered on a case-by-case basis depending on heritage considerations, site context, e.g. site size, location, adjacent buildings, neighbourhood, etc.), urban design performance, and detailed proposal review.</li></ul><h4>2. Thornton Park / East False Creek</h4><p>a) Under zoning - FC-1 District Schedule</p><ul><li>Density: increase of 1.0 FSR from 5.0 FSR for a maximum of 6.0 FSR (increase residential limit to 4.5 FSR).</li><li>Height: A maximum of 83.9 metres (not to encroach on protected public views) is currently allowed. No changes are proposed.</li></ul><p>b) Through rezoning policy</p><ul><li>Through the existing rezoning process, only additional density may be considered based on context and design. Height is restricted to 22.9m (75 ft) under the existing rezoning process.</li><li>The proposed rezoning policy allows additional density and height to be considered on a case-by-case basis depending on heritage considerations, site context, e.g. site size, location, adjacent buildings, neighbourhood, etc.), urban design performance, and detailed proposal review.</li></ul><p>See our <a href=""https://syc.vancouver.ca/projects/downtown-eastside/dtes-policy-review-boards.pdf"" rel=""noopener noreferrer"" target=""_blank"">information boards</a> for more detailed information.</p><p>The survey is now closed. Thank you for your participation. <a href=""https://shapeyourcity.ca/22439/widgets/91760/documents/61394""></a></p>",Downtown Eastside policy updates to increase social housing,dtes-policy-review,published,,TRUE,detailed,Public,"Housing, Downtown Eastside, Project","Housing, Downtown Eastside, Project",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1624060147/a5bcfeeee694cd71d9a155785789ae1d_blob?1624060147-unsplash--undefined,DTES Plan Community Fair,Engagement during the DTES Plan Community Fair in 2019,textwrap_right,0,1741,FALSE,2021-09-02T11:31:16-04:00,0,1,,tool,2021-05-07T12:23:28-04:00,2022-05-10T16:48:59-04:00,Consultation has concluded,FALSE,30,FALSE,participant,TRUE,NA,NA,NA,NA,NA
22444,projects,https://engagevancouver.ca.engagementhq.com/720-beatty-st,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/bcc299341e7a40e273f160a888163ecc74e940fc/original/1620414792/353695ae89c32d5adf51afbea5b3852a_Rendering_for_720_Beatty_St.JPG?1620414792"" style=""width: 100%;"" class=""fr-fic fr-dib""></p><p>Westbank has applied to the City of Vancouver for permission to develop the following on this site:</p><ul><li>Two commercial buildings, including:</li><li>A 17-storey office building with retail on the ground floor</li><li>A 5-storey entertainment pavilion</li><li>A new low carbon district energy plant and upgrade to the existing Creative Energy plant</li><li>Four levels of parking with bicycle facilities below grade</li></ul><p>Under the site&rsquo;s existing CD-1 zoning, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the <a href=""https://vancouver.ca/home-property-development/development-permit-board.aspx"">Development Permit Board</a>.</p><p><br></p>",720 Beatty St (DP-2021-00168) development application,720-beatty-st,archived,NA,TRUE,detailed,Public,"Development, Downtown, Approved","Development, Downtown, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1620414834/5f3c666f6405b948cf681999705a8af2_blob?1620414834-unsplash--undefined,Rendering of 720 Beatty St,NA,textwrap_default,0,2843,FALSE,2021-05-07T15:49:30-04:00,0,1,,tool,2021-05-07T14:30:07-04:00,2023-01-17T16:45:13-05:00,"<p><strong>The Development Permit Board approved this application, and a Development Permit was issued on January 13, 2023.</strong></p><p><br></p>",FALSE,48,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22620,projects,https://engagevancouver.ca.engagementhq.com/207-e-4-ave,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/cd323800004c6fa3a094eb853f39293eea90e025/original/1620939710/8fee572499c3804f8a1d979e7c0ead6f_View_of_207_E_4th_Ave.JPG?1620939710"" style=""width: 100%;"" class=""fr-fic fr-dib""></p><p>Formosis Architecture has applied to the City of Vancouver to develop a new six-storey, mixed-use building with retail use at and below grade, a 37 space City-owned childcare facility on the second storey, and 59 dwelling units, with opportunity for hotel use on storeys two through six.</p><p>The proposal includes the following:</p><ul><li>Height of 74.0 ft.</li><li>Total FSR of 3.729 (64,978 sq.ft.)</li><li>Three levels of underground parking having vehicular access from the lane</li></ul><p>This development application follows rezoning of the site and subject to Council enactment of the CD-1 By-law and approval of the Form of Development. The application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",207 E 4th Ave (DP-2021-00216) development application,207-e-4-ave,archived,NA,TRUE,detailed,Public,"Development, Mount Pleasant, Approved","Development, Mount Pleasant, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1620939733/5d56312e3ca3272c5383298f06fff483_blob?1620939733-unsplash--undefined,View of 207 E 4th Ave,NA,textwrap_default,0,1542,FALSE,2021-05-13T17:22:36-04:00,0,1,,tool,2021-05-13T16:39:10-04:00,2021-07-22T17:26:24-04:00,"<p><strong>The Director of Planning approved the application on July 22 2021, subject to conditions. &nbsp;A Development Permit may be issued once all conditions have been satisfied. For more information, please see the Prior-to letter under &quot;Application documents&quot;</strong></p><p><br></p>",FALSE,1,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22687,projects,https://engagevancouver.ca.engagementhq.com/72-e-22-ave,"<p>Engage Architecture Inc. has applied to the City of Vancouver for permission to retain and alter the existing one-family character dwelling to include the following:</p><ul><li>Raise the existing roof proposing a total height of approximately 35 ft.</li><li>Increase floor area proposing a Floor Space Ratio of 0.7 (approximately 2,460 sq. ft.)</li><li>Renovate basement level to add an attached garage providing one parking space having vehicular access from the street</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-rs-7.pdf"">RS-7 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",72 E 22nd Ave (DP-2021-00322) development application ,72-e-22-ave,archived,NA,TRUE,detailed,Public,"Approved, Development, Riley Park","Approved, Development, Riley Park",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1621884429/89a81c0914f097718a5c3ea282640668_blob?1621884429-unsplash--undefined,Generic image,NA,textwrap_default,0,687,FALSE,2021-05-25T12:57:32-04:00,0,1,,tool,2021-05-18T12:44:46-04:00,2022-02-22T11:51:03-05:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on February 15, 2022.</strong></p><p><br></p>",FALSE,2,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22688,projects,https://engagevancouver.ca.engagementhq.com/985-windermere-st,"<p>Skladan Architecture Ltd has applied to the City of Vancouver for permission to develop the following on this site:</p><ul><li>An outdoor patio seating area, having approximately 275 square feet, with portion on public property</li><li>In conjunction with existing Retail - Limited Food use [Parker Street Caf&eacute;]</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-c-1.pdf"">C-1 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",985 Windermere St (DP-2021-00280) development application ,985-windermere-st,archived,NA,TRUE,detailed,Public,"Development, Hastings-Sunrise, Approved","Development, Hastings-Sunrise, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1621888106/1aa1e5cd554faa242ce79b3af01ac5b6_blob?1621888106-unsplash--undefined,Generic image ,NA,textwrap_default,0,686,FALSE,2021-05-25T12:58:38-04:00,0,1,,tool,2021-05-18T12:45:27-04:00,2021-11-02T17:53:15-04:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on November 2, 2021.</strong></p><p><br></p>",FALSE,0,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22689,projects,https://engagevancouver.ca.engagementhq.com/1601-w-2-ave,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8b29f343342b77372208d6e5fc719f0f53a087e8/original/1622497761/4df44760f2922ed3897eb5992a244daa_View_from_W_2nd_and_Fir.png?1622497761"" style=""width: 100%;"" class=""fr-fic fr-dib"">Schmidt &amp; Associates Development Planning Ltd has applied to the City of Vancouver for permission to develop a three-storey Motor Vehicle Repair Shop with ancillary Office consisting of:</p><ul><li>A proposed height of 16.2 m (53 ft.)</li><li>A proposed Floor Space Ratio of 2.0 (2,190 m&sup2; / 23,572 sq. ft.)</li><li>Three levels of underground parking</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-ic-1-2.pdf"">IC-1 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",1601 W 2nd Ave (DP-2021-00320) development application ,1601-w-2-ave,archived,NA,TRUE,detailed,Public,"Development, Fairview, Approved","Development, Fairview, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1622497925/ced915343ec39702ea3bf1320b8cf9cc_blob?1622497925-unsplash--undefined,View from the corner of W 2nd and Fir,NA,textwrap_default,0,1618,FALSE,2021-05-31T18:54:28-04:00,0,1,,tool,2021-05-18T12:46:01-04:00,2022-04-21T16:24:40-04:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on April 19, 2022.</strong></p><p><br></p>",FALSE,31,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22690,projects,https://engagevancouver.ca.engagementhq.com/6855-cypress-st,"<p>Design Work Group Ltd has applied to the City of Vancouver for permission to develop the following on this site:</p><ul><li>To alter and convert this existing one-family character dwelling to a three-unit Multiple Conversion Dwelling (Building 1) with:<ul><li style=""margin-left: 20px;"">A total height of approximately 29.5 ft.</li><li style=""margin-left: 20px;"">A total Floor Space Ratio of 0.62 (approximately 5,400 sq. ft.)</li></ul></li><li>To develop a one-and-half-storey one-family (Infill) dwelling (Building 2) on the rear portion of the site with:<ul><li style=""margin-left: 20px;"">A total height of approximately 25 ft.</li><li style=""margin-left: 20px;"">A total Floor Space Ratio of 0.23 (approximately 2,000 sq. ft.)</li></ul></li><li>Three parking spaces provided on site, two stalls having vehicular access from the lane and one existing parking stall having vehicular access from Cypress Street</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-rs-6.pdf"">RS-6 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",6855 Cypress St (DP-2021-00317) development application ,6855-cypress-st,archived,NA,TRUE,detailed,Public,"Development, Kerrisdale, Approved","Development, Kerrisdale, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1622668479/e164590ab7a5a62cd2740b2c17ada4bf_blob?1622668479-unsplash--undefined,Generic image,NA,textwrap_default,0,895,FALSE,2021-06-02T18:16:01-04:00,0,1,,tool,2021-05-18T12:46:25-04:00,2022-01-10T17:00:55-05:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on January 7, 2022.</strong></p><p><br></p>",FALSE,12,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22691,projects,https://engagevancouver.ca.engagementhq.com/4722-w-2-ave,"<p>Formwerks Architectural Inc. has applied to the City of Vancouver for permission to develop the following on this site:</p><ul><li>A two-storey plus cellar, one-family dwelling with an attached three-car accessory building (garage), providing three parking spaces, having vehicular access from West 2nd Avenue.</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-rs-1.pdf"">RS-1 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",4722 W 2nd Ave (DP-2021-00200) development application,4722-w-2-ave,archived,NA,TRUE,detailed,Public,"Development, West Point Grey, Approved","Development, West Point Grey, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1622670075/38d5d2e287336fcf7cb686a72673c0d6_blob?1622670075-unsplash--undefined,View from the northside,NA,textwrap_default,0,842,FALSE,2021-06-02T18:13:32-04:00,0,1,,tool,2021-05-18T12:46:51-04:00,2024-01-24T17:28:56-05:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on January 12, 2024.</strong></p><p><br></p>",FALSE,0,FALSE,participant,TRUE,NA,15404,NA,NA,NA
22692,projects,https://engagevancouver.ca.engagementhq.com/2420-fraser-st,"<p><img src=""https://s3.ca-central-1.amazonaws.com/ehq-production-canada/7f241447c172c8ef0b8d62b32365f891c8451d18/original/1623266072/dda91fcbbf25c9b015cc05133f0e34d2_Image_from_Fraser_St.png?1623266072"" style=""width: 100%;"" class=""fr-fic fr-dib""></p><p>As per Board of Variance decision No. Z35707, Architectural Collective Inc. has applied to the City of Vancouver for permission to develop on the site, a three-storey multiple dwelling building, consisting of:</p><ul><li>A total of four secured market rental units</li><li>A proposed height of 10.3 m (33.8 ft.)</li><li>A proposed Floor Space Ratio of 1.34 (approximately 270 m&sup2; / 2,909 sq. ft.)</li><li>One surface parking space</li></ul><p>Under the site&rsquo;s existing <a href=""https://bylaws.vancouver.ca/zoning/zoning-by-law-district-schedule-rm-4.pdf"">RM-4 zoning</a>, the application is &ldquo;conditional&rdquo; so it may be permitted. However, it requires the decision of the Director of Planning.</p>",2420 Fraser St (DP-2020-00407) development application,2420-fraser-st,archived,NA,TRUE,detailed,Public,"Development, Mount Pleasant, Approved","Development, Mount Pleasant, Approved",https://s3.ca-central-1.amazonaws.com/ehq-production-canada/8e99a9b5c3a7d7b7f21e4de60a1590a0047dc1a0/original/1623267179/e9a108e24d07d1eafc9c1da40b7c8d29_blob?1623267179-unsplash--undefined,View from Fraser St,NA,textwrap_default,0,912,FALSE,2021-06-09T17:03:53-04:00,0,1,,tool,2021-05-18T12:47:44-04:00,2022-11-16T13:08:21-05:00,"<p><strong>The Director of Planning approved this application, and a Development Permit was issued on October 26, 2022.</strong></p><p><br></p>",FALSE,2,FALSE,participant,TRUE,NA,15404,NA,NA,NA
